id,id_str,url,date,user_id,user_id_str,user_url,username,displayname,rawDescription,user_created,followersCount,friendsCount,statusesCount,favouritesCount,listedCount,mediaCount,location,profileImageUrl,profileBannerUrl,protected,verified,blue,lang,rawContent,replyCount,retweetCount,likeCount,quoteCount,bookmarkedCount,conversationId,conversationIdStr,source,sourceUrl,sourceLabel
1707545634910187641,1707545634910187641,https://x.com/persiandisaster/status/1707545634910187641,2023-09-28T23:59:38+00:00,1214161116323926017,1214161116323926017,https://x.com/persiandisaster,persiandisaster,P.d,سلام رفیق خوبی؟,2020-01-06T12:26:10+00:00,11,118,473,1127,0,31,,https://pbs.twimg.com/profile_images/1602255241797406720/dAJzstjS_normal.jpg,https://pbs.twimg.com/profile_banners/1214161116323926017/1661445983,,False,False,en,"@AshMakesStuff @UbisoftANZ @Ubisoft oh, forgive me🙏
btw cool details on the sword💥",0,0,1,0,0,1707322141195284983,1707322141195284983,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",http://twitter.com/download/android,Twitter for Android
1707545505499099543,1707545505499099543,https://x.com/UbisoftSupport/status/1707545505499099543,2023-09-28T23:59:07+00:00,115717640,115717640,https://x.com/UbisoftSupport,UbisoftSupport,Ubisoft Support,"Official @Ubisoft Player Support 🎮
Join our Discord 👉 https://t.co/PzwLmTf1Bv
Data Privacy Rights: https://t.co/xvMLxtzilL",2010-02-19T17:28:44+00:00,714622,125,586447,5222,942,7892,Worldwide,https://pbs.twimg.com/profile_images/1828839779821096961/02gHtQ_v_normal.jpg,https://pbs.twimg.com/profile_banners/115717640/1718298862,,False,False,en,@YoSnipes We do not have our DMs open currently and we apologize for the inconvenience. What is happening when you try to create a ticket?,1,0,0,0,0,1707518697303163209,1707518697303163209,"<a href=""http://www.salesforce.com"" rel=""nofollow"">Salesforce - Social Studio</a>",http://www.salesforce.com,Salesforce - Social Studio
1707545333264453802,1707545333264453802,https://x.com/gamescan/status/1707545333264453802,2023-09-28T23:58:26+00:00,54468739,54468739,https://x.com/gamescan,gamescan,Adam Pavlacka,,2009-07-07T06:09:57+00:00,576,540,23610,9203,24,1840,San Francisco,https://pbs.twimg.com/profile_images/434291670/syriel_buddy_icon_normal.jpg,,,False,False,en,"@TruBelian @Ubisoft @FarCrygame @NetflixAnime @NetflixGeeked Yes. Saw the premiere earlier this year. Without spoiling anything, Rayman is part of the story. As are other Ubi properties. There's a reason #remix is in the title.",0,0,0,0,0,1707395844511551761,1707395844511551761,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",https://mobile.twitter.com,Twitter Web App
1707544916966965672,1707544916966965672,https://x.com/UbisoftSupport/status/1707544916966965672,2023-09-28T23:56:47+00:00,115717640,115717640,https://x.com/UbisoftSupport,UbisoftSupport,Ubisoft Support,"Official @Ubisoft Player Support 🎮
Join our Discord 👉 https://t.co/PzwLmTf1Bv
Data Privacy Rights: https://t.co/xvMLxtzilL",2010-02-19T17:28:44+00:00,714622,125,586447,5222,942,7892,Worldwide,https://pbs.twimg.com/profile_images/1828839779821096961/02gHtQ_v_normal.jpg,https://pbs.twimg.com/profile_banners/115717640/1718298862,,False,False,en,"@dewyyymeister Hey there, you should be able to register by going to our site here and following the steps for XDefiant. &gt;&gt; https://t.co/AINO4e40aB",1,0,0,0,0,1707544070518874488,1707544070518874488,"<a href=""http://www.salesforce.com"" rel=""nofollow"">Salesforce - Social Studio</a>",http://www.salesforce.com,Salesforce - Social Studio
1707544692622344610,1707544692622344610,https://x.com/Miguelito_bros/status/1707544692622344610,2023-09-28T23:55:54+00:00,2649294216,2649294216,https://x.com/Miguelito_bros,Miguelito_bros,LVI Vazquez,Been sipping on some Ky Tea                Social media manager for the @VegasInferno,2014-07-15T22:08:09+00:00,324,396,4282,38568,1,548,"Las Vegas, NV",https://pbs.twimg.com/profile_images/1597066741602873344/joDfhx99_normal.jpg,https://pbs.twimg.com/profile_banners/2649294216/1654465519,,False,False,en,@TAMER_LV @KickStreaming @VegasInferno @ZipchairGaming @GFuelEnergy @shure @Svntvmvriv @XDefiantInformr @Ubisoft Everyone tune in! He’s so NASTY,1,0,1,0,0,1707432058417733723,1707432058417733723,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",http://twitter.com/download/iphone,Twitter for iPhone
1707544070518874488,1707544070518874488,https://x.com/dewyyymeister/status/1707544070518874488,2023-09-28T23:53:25+00:00,1405323478442512384,1405323478442512384,https://x.com/dewyyymeister,dewyyymeister,dewyy,,2021-06-17T00:37:44+00:00,74,52,81,314,0,11,,https://pbs.twimg.com/profile_images/1705027026225360896/fiFjl0yp_normal.jpg,https://pbs.twimg.com/profile_banners/1405323478442512384/1687990235,,False,False,en,@Ubisoft @UbisoftSupport can I please get an xdefient code…. PLEASEEEEEEEE I registered months ago 😭😭,2,0,1,0,0,1707544070518874488,1707544070518874488,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",http://twitter.com/download/iphone,Twitter for iPhone
1707543971885404605,1707543971885404605,https://x.com/Gh3ttotwinkie/status/1707543971885404605,2023-09-28T23:53:02+00:00,2810204581,2810204581,https://x.com/Gh3ttotwinkie,Gh3ttotwinkie,Hunter Goodwin,America first Republican 1A/2A🔫 Facts over feelings 🇺🇸 🇺🇸 🇺🇸 🇺🇸 🇺🇸 🇺🇸 🇺🇸 🇺🇸 🇺🇸,2014-09-14T21:38:47+00:00,1276,352,5976,96,33,2220,"USA, Bitches",https://pbs.twimg.com/profile_images/688116919988142080/driXEfuo_normal.jpg,https://pbs.twimg.com/profile_banners/2810204581/1724215059,,False,True,en,@BeaminBandit I really wanted to play XDefiant today but I was never able to figure out how to download it. Ubisoft would only let me register for news updates,0,0,0,0,0,1707535835535397190,1707535835535397190,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",http://twitter.com/download/iphone,Twitter for iPhone
1707543819385016825,1707543819385016825,https://x.com/Shadinski_7/status/1707543819385016825,2023-09-28T23:52:25+00:00,706448398484803584,706448398484803584,https://x.com/Shadinski_7,Shadinski_7,Shadinski (Cosplayer(derogatory)),I make things innit. Riddled with ADHD. Covered in foam dust. Bisexual mess. Follow my Insta if you want more frequently dedicated cosplay stuff👇,2016-03-06T11:56:38+00:00,1082,269,11180,21686,4,759,Australia,https://pbs.twimg.com/profile_images/1689412211394150402/PZAYQkeK_normal.jpg,https://pbs.twimg.com/profile_banners/706448398484803584/1682246748,,False,False,en,@valorianru @UbisoftANZ @assassinscreed @Ubisoft THE LORD WORKS HARD BUT YOU WORK HARDER RU 👏,1,0,1,0,0,1707347498409631765,1707347498409631765,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",https://mobile.twitter.com,Twitter Web App
1707543443222794358,1707543443222794358,https://x.com/heyjamesday/status/1707543443222794358,2023-09-28T23:50:56+00:00,1704619937598205952,1704619937598205952,https://x.com/heyjamesday,heyjamesday,James Day | Otis - FFXIV Dawntrail△Aalto - WuWa,Actor|Voice Actor | Otis & Thaliak #FFXIV  | Aalto #WutheringWaves | SilverAsh #Arknights | Streaming  at https://t.co/wTTX6PeRfi ~ YouTube @heyjamesday,2023-09-20T22:14:04+00:00,5164,342,1317,2770,7,150,London,https://pbs.twimg.com/profile_images/1705363355840454656/eM5yx4wd_normal.jpg,https://pbs.twimg.com/profile_banners/1704619937598205952/1695333516,,False,False,en,@ShaiMatheson @davidmenkin @LiquidVioletUK @Ubisoft @netflix Aaaaah!! Congrats 🤩 I am so excited to watch it,1,0,1,0,0,1707080846589436152,1707080846589436152,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",https://mobile.twitter.com,Twitter Web App
1707543293481934874,1707543293481934874,https://x.com/Raymans_husband/status/1707543293481934874,2023-09-28T23:50:20+00:00,1606129942428880897,1606129942428880897,https://x.com/Raymans_husband,Raymans_husband,Ozzie ✩,"You can use my art if you credit me
pfp by strung_cheese
Mostly satire
Dni proshippers & nsfw accs
priv: heroofglades999

Anything but she/her",2022-12-23T03:30:20+00:00,309,506,3215,14988,2,822,The Glade of Dreams,https://pbs.twimg.com/profile_images/1741559047755583488/bCbQh0VZ_normal.jpg,https://pbs.twimg.com/profile_banners/1606129942428880897/1713490521,,False,False,en,@raysbian @Ubisoft @netflix @NetflixGeeked your the voice we needed,0,0,1,0,0,1707311924042436659,1707311924042436659,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",https://mobile.twitter.com,Twitter Web App
1707542686104711447,1707542686104711447,https://x.com/Samuelm8113/status/1707542686104711447,2023-09-28T23:47:55+00:00,981329016123686912,981329016123686912,https://x.com/Samuelm8113,Samuelm8113,TheSamuelOff,"Cada día buscando motivaciones en la vida
https://t.co/qdDRtgDeOl",2018-04-04T00:34:04+00:00,61,143,253,470,0,41,Colombia,https://pbs.twimg.com/profile_images/1612657825360101377/LTW4AdbA_normal.jpg,https://pbs.twimg.com/profile_banners/981329016123686912/1662945551,,False,False,en,@XDefiantInformr I recorded some glitches and gonna post to Ubisoft Support,0,0,1,0,0,1707505800820711610,1707505800820711610,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",http://twitter.com/download/android,Twitter for Android
1707542669948592500,1707542669948592500,https://x.com/ZalAamir/status/1707542669948592500,2023-09-28T23:47:51+00:00,42072640,42072640,https://x.com/ZalAamir,ZalAamir,Afdzal Aamirus,https://t.co/ZTxubYU3Rq,2009-05-23T18:26:39+00:00,623,5228,30527,28831,9,5200,,https://pbs.twimg.com/profile_images/968961599099695104/ULUPqYAC_normal.jpg,https://pbs.twimg.com/profile_banners/42072640/1578051980,,False,False,en,"oi, wtf?
I thought only Epic was laying people off today but Ubisoft and Blizzard too?!
omg",0,0,0,0,0,1707542669948592500,1707542669948592500,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",http://twitter.com/download/android,Twitter for Android
1707540979316576272,1707540979316576272,https://x.com/OfHugoJD/status/1707540979316576272,2023-09-28T23:41:08+00:00,3251583538,3251583538,https://x.com/OfHugoJD,OfHugoJD,Mothugo,"Just Dancer & Ubisoft Star Player 🌟
JD2017, 2018 & 2019 French Finalist 🇨🇵
Rockabye Guy, Hufflepuff & Crystal Gem 🕺🏻💛💎",2015-05-13T13:17:04+00:00,798,211,1309,4243,3,312,,https://pbs.twimg.com/profile_images/1597582735152906240/1-17J21B_normal.jpg,https://pbs.twimg.com/profile_banners/3251583538/1669728439,,False,False,en,@littlesiha @justdancegame That you cried so much that they currently have leaks at Ubisoft (OMG pun unintended 😭😭😭),0,0,25,2,0,1707503613948350916,1707503613948350916,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",http://twitter.com/download/android,Twitter for Android
1707540329409216898,1707540329409216898,https://x.com/LEAKYBIACK/status/1707540329409216898,2023-09-28T23:38:33+00:00,1488919634413826058,1488919634413826058,https://x.com/LEAKYBIACK,LEAKYBIACK,ً,Back again,2022-02-02T16:58:04+00:00,231,295,14031,3373,2,891,,https://pbs.twimg.com/profile_images/1488935697847365632/Noa0CfJB_normal.jpg,https://pbs.twimg.com/profile_banners/1488919634413826058/1643824950,,False,False,en,@TheJohnStizmah @sparklingxnacho @Just_Caffrey @Lance_Warner_ Go have one conversation who plays R6S and ask them if Ubisoft is reliable or if they care about their players. R6S has been out for almost a decade and the anticheat in that game is still nonexistent. There’s 100% chance you’ll be matched against hackers in ranked.,0,0,1,0,0,1707406778617491855,1707406778617491855,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",http://twitter.com/download/iphone,Twitter for iPhone
1707539896540234042,1707539896540234042,https://x.com/Stizmah/status/1707539896540234042,2023-09-28T23:36:50+00:00,1678590942125649920,1678590942125649920,https://x.com/Stizmah,Stizmah,John,"25 | Multi FPS Demon | Player for @Fisher_Esports for the CCL, and @HxS_eSports for challengers",2023-07-11T02:24:11+00:00,3574,1330,3803,7263,0,211,TX,https://pbs.twimg.com/profile_images/1784226666031566852/qhfWWk3j_normal.jpg,https://pbs.twimg.com/profile_banners/1678590942125649920/1724981272,,False,True,en,"@JTTH0R @sparklingxnacho @Just_Caffrey @Lance_Warner_ Activision has a proven track record of disappointment that stems further and longer than Ubisoft. I have faith in the developers working in XDefiant. Not the company it’s self. 

Infinity ward sucks as a studio. As does sledgehammer. Treyarch is the only one worth anything",1,0,1,0,0,1707406778617491855,1707406778617491855,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",http://twitter.com/download/iphone,Twitter for iPhone
1707539511914193253,1707539511914193253,https://x.com/Deadchamber19/status/1707539511914193253,2023-09-28T23:35:18+00:00,878082267863764993,878082267863764993,https://x.com/Deadchamber19,Deadchamber19,Deadchamber,"•Gaming Informational News Channel! 🎮 📰
•Metal Music Lover! 🎶 🎸
•Part-Time Gamer 🎮📺 
•Full-Time Father 👨‍👩‍👧❤️
 @Callofduty",2017-06-23T02:48:21+00:00,52,297,5639,622,1,1080,"Montréal, Québec",https://pbs.twimg.com/profile_images/1698893819238850561/ruX3qo0M_normal.jpg,https://pbs.twimg.com/profile_banners/878082267863764993/1653484237,,False,False,en,"@ImGriizz @Lance_Warner_ Not necessarily. Game pages also are looking to benefit themselves. If the community are calling it a COD killer, they'd attract views by labeling/marketing it as that. Doesn't mean they were paid by Ubisoft. 

Like how youtubers steal titles for their videos to encourage views.",0,0,1,0,0,1707406778617491855,1707406778617491855,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",http://twitter.com/download/android,Twitter for Android
1707539253226352752,1707539253226352752,https://x.com/MauriceIsWithMe/status/1707539253226352752,2023-09-28T23:34:17+00:00,1354588849071124483,1354588849071124483,https://x.com/MauriceIsWithMe,MauriceIsWithMe,SlightlyBlackMale,"DarkBlackMan#151 is my Xbox

I'm 22

🏳️‍🌈 & 🏳️‍⚧️ niggas welcome. blm and obviously all lives idiots.

#Destiny2 #MortalKombat  #EldenRing",2021-01-28T00:35:43+00:00,366,2952,54034,69403,7,3129,,https://pbs.twimg.com/profile_images/1836849244860260353/K5p8yjbn_normal.jpg,https://pbs.twimg.com/profile_banners/1354588849071124483/1724125470,,False,False,en,"It's like dbd, but with EA/ubisoft prices. And with a lot more bugs.",0,1,2,0,0,1707539253226352752,1707539253226352752,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",http://twitter.com/download/android,Twitter for Android
